시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
가평군,한국국토정보공사 가평지사,경기도 가평군 가평읍 읍내리 487-5번지 한국국토정보공사 가평지사,경기도 가평군 가평읍 석봉로 158,12418,37.8291754313,127.5113522273,대영채비,AC완속
가평군,아침고요수목원,경기도 가평군 상면 행현리 623-3번지 지상 나 주차장,경기도 가평군 상면 수목원로 432,12448,37.7439537969,127.3525341486,케이티,AC완속
가평군,호명산스카이라운지,경기도 가평군 가평읍 산유리 456번지 펜션 주차장 내,경기도 가평군 가평읍 상지로 780,12429,37.7494630257,127.5009081400,지엔텔,AC완속
가평군,(19년설치취소)휴타운펜션식당,경기도 가평군 상면 행현리 387-2번지 펜션 주차장 내,경기도 가평군 상면 수목원로 162,12448,37.7638043683,127.3627697002,지엔텔,AC완속
가평군,설악면사무소 후문,경기도 가평군 설악면 신천리 156-1번지,경기도 가평군 설악면 한서로 8,12467,37.6759861260,127.4941031502,한국전기차충전서비스,DC차데모+AC3상+DC콤보
가평군,에덴스포츠타운,경기도 가평군 청평면 상천리 258,,12449,37.7794449295,127.4649215264,한국전기차충전서비스,AC완속
가평군,남이섬꼬꼬춘천닭갈비,경기도 가평군 가평읍 달전리 119번지,경기도 가평군 가평읍 북한강변로 1045,12422,37.8059103284,127.5249011372,제주전기자동차서비스,AC완속
가평군,원조곰탕사골,경기도 가평군 가평읍 마장리 396-21번지,경기도 가평군 가평읍 가화로 394,12409,37.8533760747,127.5067749263,제주전기자동차서비스,AC완속
가평군,가평지사,경기도 가평군 가평읍 읍내리 631-1번지,경기도 가평군 가평읍 가화로 169-11,12413,37.8340155683,127.5105915608,한국전력,DC차데모+AC3상+DC콤보
가평군,세븐일레븐 가평자전거테마파크점,경기도 가평군 가평읍 상색리 273-10번지,경기도 가평군 가평읍 경춘로 1782,12426,37.7981512673,127.4823370893,한국전기차충전서비스,DC차데모+DC콤보
가평군,한얼산기도원,경기도 가평군 청평면 대성리 222-7 한얼산기도원,경기도 가평군 청평면 큰갈월로 237,12457,37.7325502527,127.3831530481,에버온,AC완속
가평군,밸리러브 펜션,경기도 가평군 북면 이곡리 605-3번지 야외주차장,경기도 가평군 북면 이곡둑길 141,12407,37.8798280704,127.5501362558,지엔텔,AC완속
가평군,청평면사무소,경기도 가평군 청평면 청평리 333-1번지,경기도 가평군 청평면 은고개로 23,12452,37.7398216605,127.4244892414,환경부(한국자동차환경협회),DC차데모+AC3상+DC콤보
가평군,가평휴게소(서울방향),"경기도 가평군 설악면 미사리 145-3번지 가평휴게소 , SK 가평주유소(서울방향) 옆",경기도 가평군 설악면 미사리로 544,12462,37.7017384936,127.5434705352,환경부(한국자동차환경협회),DC차데모+AC3상+DC콤보
가평군,가평환경성질환 예방관리센터,경기도 가평군 상면 행현리 922,,12448,37.7723527353,127.3365191212,환경부(한국자동차환경협회),DC차데모+AC3상+DC콤보
가평군,가평군 청평마이다스골프클럽,경기도 가평군 설악면 이천리 240번지 주차장,경기도 가평군 설악면 다락재로 73-111,12459,37.6657668527,127.4586935099,차지비,AC완속
가평군,뉴월드호텔,경기도 가평군 설악면 선촌리 410번지 야외주차장,경기도 가평군 설악면 유명로 1734,12466,37.6763268185,127.4784763176,지엔텔,AC완속
가평군,가평군 농업기술센터,경기도 가평군 가평읍 승안리 125-2 지상1층주차장,,12408,37.8461223176,127.4977509335,지엔텔,DC차데모+AC3상+DC콤보
